Date,Open,High,Low,Close,Volume,Adj Close
2008-12-01,19.23,19.60,17.35,18.16,30066200,15.70502
2008-11-24,18.70,20.77,17.85,20.06,33286000,17.34816
2008-11-17,20.00,20.80,16.75,17.04,32202800,14.73643
2008-11-10,24.60,24.99,19.87,20.76,35487700,17.95354
2008-11-03,23.70,25.68,22.22,23.26,29660100,20.11557
2008-10-27,20.07,23.89,17.80,23.31,40793200,20.15881
2008-10-20,23.59,25.81,20.01,20.40,35352000,17.6422
2008-10-13,26.30,29.00,21.11,22.99,46245500,19.88207
2008-10-06,28.39,30.95,22.90,24.00,42940100,20.75553
2008-09-29,34.00,35.28,30.00,31.00,25730200,26.80923
2008-09-22,35.38,36.38,32.56,35.43,23699800,30.64035
2008-09-15,31.05,35.49,27.91,34.98,36333000,30.25119
2008-09-08,33.00,33.20,26.86,33.00,33991700,28.53886
2008-09-01,34.79,34.79,30.25,31.86,17813700,27.55297
2008-08-25,34.80,36.01,33.47,34.90,14522600,30.182
2008-08-18,32.94,35.92,30.81,35.29,18951500,30.51928
2008-08-11,33.50,34.41,32.03,32.67,19060600,28.25347
2008-08-04,34.50,34.88,31.80,33.55,20235500,29.0145
2008-07-28,35.17,36.88,34.24,34.51,18983000,29.84472
2008-07-21,38.84,38.98,33.59,34.50,22593600,29.83608
2008-07-14,41.10,41.19,37.40,38.20,20848600,33.03589
2008-07-07,42.38,43.97,39.02,40.60,23428300,35.11144
2008-06-30,46.36,46.84,42.00,43.20,16471300,37.35996
2008-06-23,43.30,45.50,43.14,45.30,17583300,39.17606
2008-06-16,46.04,46.60,43.00,43.13,22785300,37.29942
2008-06-09,47.37,48.10,44.80,45.90,21269200,39.69495
2008-06-02,49.29,50.27,44.87,47.59,27963900,41.15649
2008-05-26,51.01,51.85,48.90,49.00,22236900,42.37588
2008-05-19,48.86,53.68,48.16,50.56,29854300,43.72499
2008-05-12,45.80,48.20,45.02,48.15,23580600,41.64079
2008-05-05,43.20,45.67,42.81,45.67,21106600,39.49604
2008-04-28,42.83,44.20,40.50,43.00,26745500,37.18699
2008-04-22,86.50,87.44,82.60,84.30,26332800,36.4519
2008-04-14,82.14,85.94,77.02,85.30,37783600,36.88431
2008-04-07,79.58,80.95,77.35,78.55,17060200,33.96556
2008-03-31,73.60,80.28,72.20,79.00,21437900,33.98269
2008-03-24,70.91,75.83,69.35,72.61,18750400,31.23396
2008-03-18,75.02,75.62,67.50,69.40,26860700,29.85315
2008-03-10,78.17,80.50,76.00,76.74,19539200,33.01052
2008-03-03,82.00,82.70,77.30,78.16,23896800,33.62135
2008-02-25,84.00,86.45,81.45,81.45,20708000,35.03658
2008-02-18,84.20,86.40,82.46,84.30,19549800,36.26254
2008-02-11,82.59,85.62,81.98,82.80,20492900,35.6173
2008-02-06,78.95,82.70,78.35,81.80,21023400,35.18714
2008-01-28,75.89,82.63,75.01,81.70,24685900,35.14412
2008-01-21,67.00,76.95,66.20,76.74,30227500,33.01052
2008-01-14,82.11,82.40,69.15,71.80,26501000,30.88553
2008-01-07,81.46,85.47,78.62,81.56,21121800,34.81668
2008-01-02,86.99,87.74,80.90,81.40,18744000,34.74838
2007-12-26,86.60,88.40,85.31,88.40,19688900,37.73657
2007-12-17,79.95,86.48,76.72,85.03,24035000,36.29797
2007-12-10,79.10,85.89,78.10,81.20,24822000,34.663
2007-12-03,72.75,84.52,71.50,80.05,21031500,34.17208
2007-11-26,77.00,77.85,71.90,71.90,23782100,30.69298
2007-11-19,78.59,79.50,75.24,76.50,19537500,32.65665
2007-11-12,77.75,81.19,73.23,78.80,34370200,33.63848
2007-11-05,70.00,90.89,67.90,81.65,45911500,34.8551
2007-10-29,71.52,74.00,69.66,71.45,26763200,30.50088
2007-10-22,61.10,71.25,60.60,71.10,22514200,30.35147
2007-10-15,66.05,68.10,63.00,63.00,25233900,26.89371
2007-10-08,60.97,66.90,60.70,64.74,23576200,27.63649
2007-10-01,59.08,62.00,57.30,61.65,20963000,25.87943
2007-09-24,58.93,60.50,58.45,59.20,19571700,24.85097
2007-09-17,54.00,58.50,53.37,58.50,19873800,24.55713
2007-09-10,53.15,55.65,52.16,54.30,18580400,22.79405
2007-09-03,52.20,54.95,52.12,54.08,15201400,22.7017
2007-08-27,49.50,52.55,48.25,52.20,16632700,21.91251
2007-08-20,46.35,49.93,45.44,49.75,21281100,20.88405
2007-08-13,50.50,51.20,43.62,46.40,30234900,19.05515
2007-08-06,50.95,52.86,48.80,49.38,20438000,20.27896
2007-07-30,51.61,54.75,50.20,50.50,16919600,20.73891
2007-07-23,56.76,57.50,51.06,51.06,20063500,20.96888
2007-07-16,55.45,57.14,54.80,56.58,12916100,23.23579
2007-07-10,54.75,56.49,53.60,55.84,17051200,22.93189
2007-07-02,51.80,54.74,51.61,54.74,12833200,22.48015
2007-06-25,51.28,52.05,50.30,51.64,14413200,21.20707
2007-06-18,50.99,52.10,50.65,51.31,18195400,21.07155
2007-06-11,47.70,51.00,47.30,50.75,27845600,20.84157
2007-06-04,46.65,48.29,46.25,47.40,17995500,19.46583
2007-05-28,46.71,47.17,45.10,47.10,14265300,19.34262
2007-05-21,47.10,47.79,45.80,46.70,20075800,19.17836
2007-05-14,44.55,46.60,44.55,46.50,19916200,19.09622
2007-05-07,45.90,45.90,44.15,45.23,19793700,18.57467
2007-04-30,45.20,46.85,45.20,46.02,16319000,18.8991
2007-04-23,47.10,47.94,45.58,46.10,15171100,18.93195
2007-04-16,48.01,49.00,46.30,47.00,20161200,19.30156
2007-04-09,46.50,48.01,45.80,47.71,19777200,19.59313
2007-04-02,45.99,46.47,44.98,46.20,16958400,18.97302
2007-03-26,44.35,46.80,43.95,46.14,22819000,18.66016
2007-03-19,40.98,44.49,40.57,44.08,16694000,17.82705
2007-03-12,42.05,42.40,40.22,40.22,17352500,16.26596
2007-03-05,40.06,43.00,39.71,42.51,18276600,17.1921
2007-02-26,45.91,45.99,40.90,41.06,23973500,16.60568
2007-02-21,43.99,45.88,43.60,45.43,16710600,18.37302
2007-02-12,45.00,45.74,43.81,44.33,20986500,17.92815
2007-02-05,47.19,47.60,44.36,44.80,20377400,18.11823
2007-01-29,46.16,47.45,45.11,47.30,14838600,19.12929
2007-01-22,45.50,47.21,44.83,46.50,15372400,18.80575
2007-01-15,45.59,45.85,43.20,45.18,19482000,18.27191
2007-01-08,46.50,47.14,44.30,45.15,22204800,18.25978
2007-01-02,50.00,50.45,45.10,46.19,18938100,18.68038
2006-12-26,48.31,49.96,48.22,49.80,8882200,19.77637
2006-12-18,47.65,48.69,46.76,48.17,13437500,19.12907
2006-12-11,47.30,47.71,46.36,47.25,14189200,18.76373
2006-12-04,45.04,47.39,45.00,47.17,14388300,18.73196
2006-11-27,44.11,46.15,43.50,45.30,14471900,17.98935
2006-11-21,43.60,44.90,43.38,44.30,12916100,17.59224
2006-11-13,44.19,45.08,42.85,43.50,17460700,17.27454
2006-11-06,43.35,45.50,43.20,45.35,14702400,18.00921
2006-10-30,42.87,43.20,42.10,43.20,11793300,17.15541
2006-10-23,40.74,43.80,40.30,43.06,14890600,17.09981
2006-10-16,41.64,42.11,40.57,41.10,14189300,16.32146
2006-10-09,40.00,41.81,39.89,41.65,9952700,16.53988
2006-10-02,41.00,41.35,38.32,40.20,18068800,15.96406
2006-09-25,38.10,40.98,37.15,40.59,16623100,16.11893
2006-09-18,39.65,40.84,38.10,38.14,17370800,15.146
2006-09-11,39.77,41.19,38.70,39.25,19465800,15.5868
2006-09-04,44.00,44.40,41.05,41.20,10481000,16.36118
2006-08-28,43.44,44.10,42.36,43.88,9766900,17.42545
2006-08-21,44.78,45.05,42.33,43.90,10734000,17.43339
2006-08-14,45.39,45.70,44.03,44.89,11443000,17.82653
2006-08-07,45.85,46.64,45.21,45.40,8713300,18.02906
2006-07-31,44.86,46.58,44.40,45.69,10187200,18.14423
2006-07-24,42.55,45.27,42.00,45.10,7908100,17.90993
2006-07-17,43.94,44.29,41.30,42.00,11705100,16.67887
2006-07-10,42.72,44.34,42.20,44.24,11315600,17.56841
2006-07-03,43.00,43.90,42.11,42.80,11337600,16.99656
2006-06-26,41.15,43.85,40.61,43.18,10381900,17.14746
2006-06-19,40.50,41.55,38.74,41.05,11320500,16.30161
2006-06-12,39.81,40.73,36.32,40.30,19275600,16.00377
2006-06-05,44.88,44.90,38.65,39.38,15042800,15.63842
2006-05-29,45.00,45.50,43.32,44.68,13165600,17.74314
2006-05-22,42.15,45.10,41.20,45.00,16595800,17.87022
2006-05-15,45.21,46.99,42.22,43.28,17743200,17.18718
2006-05-08,47.10,48.39,46.50,46.90,12564400,18.62474
2006-05-02,45.60,47.60,45.60,47.48,14630400,18.85506
2006-04-24,47.00,47.10,45.00,46.23,9831100,18.35867
2006-04-17,43.39,47.09,43.39,46.31,15051200,18.39044
2006-04-10,43.90,44.39,42.90,43.35,10230900,17.21497
2006-04-03,44.24,44.49,42.95,43.83,10290100,17.40559
2006-03-27,41.94,43.47,41.72,43.14,11137400,16.84392
2006-03-20,43.50,43.85,41.75,42.45,13055600,16.57452
2006-03-13,41.45,44.50,40.90,42.80,12203500,16.71117
2006-03-06,45.60,45.62,40.62,41.21,15444900,16.09036
2006-03-01,43.86,45.60,43.44,45.50,9818400,17.76538
2006-02-20,44.65,45.68,42.82,44.72,11970900,17.46083
2006-02-13,41.29,44.85,40.12,44.00,17674100,17.17971
2006-02-06,45.17,45.45,41.01,41.36,14227200,16.14893
2006-01-30,45.04,47.30,43.51,44.19,12946400,17.25389
2006-01-23,44.00,46.40,43.80,44.99,11244400,17.56625
2006-01-16,42.61,44.28,41.72,44.25,10012500,17.27732
2006-01-09,40.69,43.59,40.36,42.60,12322400,16.63308
2006-01-02,38.09,40.89,36.73,40.85,9105100,15.9498
2005-12-26,36.54,37.48,36.11,37.21,5118900,14.52857
2005-12-19,36.29,37.20,35.94,36.65,6562200,14.30992
2005-12-12,36.29,36.95,35.71,36.30,7652900,14.17326
2005-12-05,35.49,36.40,34.95,36.10,8460500,14.09517
2005-11-28,34.41,35.88,32.70,35.58,9633300,13.89214
2005-11-21,32.95,34.62,32.51,34.27,8464700,13.38065
2005-11-14,30.51,32.92,29.98,32.70,7656700,12.76765
2005-11-07,33.00,33.30,30.51,30.85,11919400,12.04532
2005-10-31,31.51,33.89,31.15,32.60,10965300,12.7286
2005-10-24,30.45,32.70,30.45,31.15,7425600,12.16245
2005-10-17,31.60,32.50,29.25,30.58,12866200,11.9399
2005-10-10,32.15,32.58,30.40,31.18,12397300,12.17417
2005-10-03,35.70,36.11,30.75,31.70,14450800,12.3772
2005-09-26,35.69,36.74,34.51,35.65,8870600,13.91947
2005-09-19,34.61,37.49,34.40,35.78,11036900,13.97023
2005-09-12,34.40,34.89,33.65,34.77,7627600,13.57588
2005-09-05,31.7374,33.97,31.7374,33.85,23600100,13.21666
2005-08-29,124.10,130.00,31.7374,32.50,40998700,12.68956
2005-08-22,120.80,125.20,119.20,121.8096,32084400,11.89008
2005-08-15,122.10,124.00,116.00,119.80,51133400,11.69392
2005-08-08,114.34,122.40,114.34,122.40,40552300,11.94771
2005-08-01,108.90,115.9896,108.30,114.20,32941400,11.14729
2005-07-25,106.00,111.1904,104.20,108.98,39215300,10.63775
2005-07-18,104.4496,108.0504,103.20,107.90,32018500,10.53233
2005-07-11,108.20,110.90,104.80,104.80,37641600,10.22974
2005-07-04,107.30,110.70,106.2096,108.5104,36227800,10.59192
2005-06-27,105.3304,110.9704,105.3304,108.1904,29215300,10.56068
2005-06-20,107.90,110.50,105.7904,106.50,47093100,10.39568
2005-06-13,102.00,107.70,100.94,107.70,38978500,10.51281
2005-06-06,102.2496,103.30,98.90,101.70,34938200,9.92714
2005-05-30,100.0504,104.70,100.0504,103.98,30016000,10.14969
2005-05-23,98.20,100.98,95.2096,100.80,18546400,9.83929
2005-05-16,93.30,98.90,92.30,98.20,27212100,9.5855
2005-05-09,99.00,99.2304,92.0104,92.50,30130500,9.02911
2005-05-02,94.4896,99.80,91.80,98.7304,25969900,9.63727
2005-04-25,93.20,97.40,91.30,94.50,28369900,9.22433
2005-04-18,95.00,96.8896,92.20,93.10,28128800,9.08768
2005-04-11,99.9896,101.2496,93.50,93.80,35726700,9.156
2005-04-04,104.00,105.76,99.60,100.00,29813700,9.7612
2005-03-28,102.20,104.80,98.60,103.90,31955800,10.14189
2005-03-21,106.04,106.50,101.00,102.60,42801600,9.51804
2005-03-14,106.80,108.34,102.00,105.80,41020800,9.8149
2005-03-07,115.50,116.90,107.20,107.60,31960900,9.98188
2005-02-28,112.00,115.90,105.6904,115.30,49969200,10.6962
2005-02-21,102.9496,113.60,102.80,113.0504,47084800,10.48751
2005-02-14,102.1104,104.4304,100.10,102.70,49923200,9.52732
2005-02-09,102.3496,103.8704,99.5504,102.7904,50403200,9.5357
2005-01-31,93.40,97.90,92.36,97.30,40723800,9.02637
2005-01-24,92.30,94.90,91.00,92.80,29057600,8.60891
2005-01-17,94.00,94.7504,90.3096,91.10,32568900,8.4512
2005-01-10,94.00,94.4496,90.8704,94.10,39106500,8.72951
2005-01-03,97.50,97.90,91.80,93.4104,30558000,8.66553
2004-12-27,96.00,97.9496,95.1504,97.1504,29881600,9.01249
2004-12-20,94.80,97.2496,94.22,96.6504,44588000,8.9661
2004-12-13,92.10,96.20,91.80,94.72,42383300,8.78702
2004-12-06,93.50,94.8896,90.4104,91.90,25877100,8.52542
2004-11-29,93.80,96.10,91.7504,93.3096,33174400,8.65618
2004-11-22,90.3896,94.40,89.50,93.82,33816900,8.70353
2004-11-16,95.00,95.00,89.92,90.50,45304800,8.39554
2004-11-08,96.00,96.50,92.80,95.80,23209600,8.88721
2004-11-01,93.50,96.1504,93.0104,95.80,26233600,8.88721
2004-10-25,94.50,95.28,92.52,93.4496,29626800,8.66917
2004-10-18,93.50,96.00,91.2096,94.80,43410500,8.79445
2004-10-11,96.4496,97.70,88.20,93.02,46515200,8.62932
2004-10-04,94.30,98.00,94.00,96.80,39381100,8.97998
2004-09-27,92.5104,94.44,91.28,94.00,38709700,8.72023
2004-09-20,88.1504,92.64,87.50,92.14,37095600,8.54768
2004-09-13,83.9896,87.30,83.60,87.28,29118700,8.09683
2004-09-06,83.50,84.94,82.70,84.0104,21896000,7.79351
2004-08-30,82.50,83.60,81.5104,83.20,22334700,7.71833
2004-08-23,84.3096,85.30,82.30,82.7304,29442500,7.67477
2004-08-16,79.35,84.8496,79.10,84.6504,45264600,7.85288
2004-08-09,78.10,80.9104,77.60,79.50,41807300,7.37509
2004-08-02,77.62,79.50,76.50,78.20,36577200,7.25449
2004-07-26,75.21,79.20,73.60,78.10,38731500,7.24521
2004-07-19,78.36,78.99,74.41,74.80,36869100,6.93908
2004-07-12,74.11,78.60,73.80,78.38,39941100,7.27119
2004-07-05,77.00,77.20,73.70,74.10,27660000,6.87414
2004-06-28,76.70,77.48,74.00,76.80,31363200,7.12461
2004-06-21,74.81,78.40,73.30,76.10,48106800,7.05968
2004-06-14,71.94,75.78,70.50,74.90,48757100,6.94835
2004-06-07,73.11,74.99,71.80,72.40,31881600,6.71643
2004-05-31,71.55,75.20,70.70,72.79,29754200,6.75261
2004-05-24,69.10,73.20,68.00,71.00,42371200,6.58656
2004-05-17,70.00,72.85,67.04,67.21,49073900,6.23496
2004-05-10,69.09,76.99,68.00,73.20,49515500,6.79065
2004-05-03,74.31,79.90,70.22,71.60,49466200,6.64222
2004-04-26,82.00,82.90,73.05,74.70,48012100,6.9298
2004-04-19,84.80,85.4896,80.10,80.90,56582400,7.50496
2004-04-12,87.00,89.4896,84.14,84.6504,33372100,7.85288
2004-04-05,85.90,87.2496,83.60,86.9896,30263200,8.06989
2004-03-29,83.2304,86.90,80.9496,86.50,38325100,8.02447
2004-03-22,82.1904,83.80,80.8496,82.6904,31198700,7.67106
2004-03-15,83.50,86.80,80.02,83.7904,34725100,7.7731
2004-03-08,86.2696,87.80,80.50,83.4704,33118000,7.74342
2004-03-01,82.6104,86.4496,82.6104,85.68,32248900,7.9484
2004-02-25,81.20,83.38,81.12,82.00,23937000,7.60701
2004-02-16,85.1696,86.30,76.80,80.90,48518400,7.50496
2004-02-09,82.20,88.4896,81.10,85.7904,44972800,7.95864
2004-02-02,77.50,81.9704,76.10,81.62,54620800,7.57176
2004-01-26,85.8496,87.40,78.00,78.29,38042800,7.26284
2004-01-19,84.00,88.4496,83.40,85.1104,45916100,7.89556
2004-01-12,86.0296,88.10,80.90,84.00,50591300,7.79255
2004-01-05,79.89,92.50,79.85,85.80,58243200,7.95953
2003-12-29,75.20,79.20,75.20,79.20,25578600,7.34726
2003-12-22,75.68,78.90,74.50,74.92,23521000,6.95021
2003-12-15,73.00,76.45,71.15,75.70,34940100,7.02257
2003-12-08,68.55,73.95,68.00,72.26,43683200,6.70345
2003-12-01,67.01,68.90,66.75,68.60,31773400,6.36391
2003-11-24,69.37,69.70,65.80,66.88,31491800,6.20435
2003-11-17,68.20,69.45,67.26,68.65,32064600,6.36855
2003-11-10,65.50,68.96,64.00,68.70,43365100,6.37319
2003-11-03,63.45,66.50,63.02,65.30,29744000,6.05778
2003-10-27,64.38,65.97,63.00,63.00,36705900,5.84441
2003-10-20,64.55,65.50,62.00,63.55,39811200,5.89543
2003-10-13,66.39,68.40,64.15,64.60,32842200,5.99284
2003-10-06,65.50,67.60,65.30,66.51,37927600,6.17003
2003-09-29,61.00,66.36,59.70,65.80,43056000,6.10416
2003-09-22,62.49,62.49,60.04,60.35,41136600,5.59857
2003-09-15,64.30,64.70,62.40,62.80,42748800,5.82586
2003-09-08,65.00,66.00,62.01,64.30,42706500,5.96501
2003-09-01,60.40,65.00,59.75,64.82,44161900,6.01325
2003-08-25,58.00,60.88,56.75,60.80,32626500,5.64032
2003-08-18,58.41,59.35,56.85,57.90,50684800,5.37129
2003-08-11,57.20,59.74,57.20,58.31,36082500,5.40933
2003-08-04,53.79,540.00,53.30,57.80,178522800,5.36201
2003-07-28,55.99,57.40,53.80,53.86,30055600,4.99651
2003-07-21,57.11,58.08,55.80,55.90,29518700,5.18575
2003-07-14,54.52,57.45,54.52,57.00,36328900,5.2878
2003-07-07,53.01,55.20,53.01,54.25,42729600,5.03269
2003-06-30,50.41,53.00,50.30,53.00,24743600,4.91673
2003-06-23,51.50,51.95,49.61,50.71,34995800,4.70429
2003-06-16,54.00,54.80,50.86,51.10,38239200,4.74047
2003-06-09,54.00,54.85,52.20,54.12,34176600,5.02063
2003-06-02,52.66,55.00,52.00,54.31,32947200,5.03825
2003-05-26,53.50,54.06,52.00,52.80,33170500,4.89817
2003-05-19,53.51,54.04,51.65,53.30,36805700,4.94456
2003-05-12,52.50,56.27,52.20,54.30,47268400,5.03732
2003-05-05,50.64,52.70,50.20,52.20,44864600,4.84251
2003-04-28,47.50,50.80,47.05,50.70,33828800,4.70336
2003-04-22,47.00,49.00,46.95,47.40,33824800,4.39722
2003-04-14,46.50,47.74,45.84,47.50,28776800,4.4065
2003-04-07,50.00,50.45,45.50,46.35,40104300,4.29982
2003-03-31,46.00,49.50,45.83,49.04,36770500,4.54936
2003-03-24,47.30,48.20,45.90,46.50,26722500,4.31373
2003-03-17,45.00,49.70,44.80,48.20,48238700,4.47144
2003-03-10,43.45,46.89,42.90,46.10,42005100,4.27662
2003-03-05,41.94,44.29,41.60,44.10,28929000,4.09109
2003-02-24,45.35,45.35,40.91,42.69,31245400,3.96028
2003-02-17,46.26,46.70,44.29,45.10,36326400,4.18386
2003-02-10,45.90,47.90,44.80,45.87,31412400,4.25529
2003-02-03,47.60,48.30,44.27,45.00,31210800,4.17458
2003-01-27,45.05,48.15,44.10,47.51,46547200,4.40743
2003-01-20,50.70,50.70,45.11,45.11,40733400,4.18478
2003-01-13,53.00,53.15,50.55,50.60,39449600,4.69408
2003-01-06,47.80,52.55,47.30,52.51,42755200,4.87127
2002-12-30,46.70,47.90,46.40,46.90,9980800,4.35084
2002-12-23,49.40,50.10,46.65,46.65,17495400,4.32765
2002-12-16,45.50,49.80,44.50,48.70,63072000,4.51782
2002-12-09,43.70,45.55,43.20,45.00,24222000,4.17458
2002-12-02,45.00,45.20,44.00,44.49,20858800,4.12727
2002-11-25,45.25,46.20,42.70,44.10,22741100,4.09109
2002-11-18,44.49,45.90,43.30,45.20,34920300,4.19313
2002-11-11,43.98,44.20,41.60,43.45,16077600,4.03079
2002-11-04,45.00,45.50,40.60,43.26,30403800,4.01316
2002-10-28,43.00,45.49,41.20,44.19,40476800,4.09944
2002-10-21,39.20,44.80,37.85,43.42,51293400,4.028
2002-10-14,35.90,39.40,34.70,38.90,42485700,3.60869
2002-10-07,40.15,41.40,37.05,37.05,41039300,3.43707
2002-09-30,39.20,41.40,34.40,40.85,42822400,3.78959
2002-09-23,42.60,42.90,35.99,36.70,60102400,3.4046
2002-09-16,48.30,48.40,41.90,44.00,46248300,4.08181
2002-09-09,45.30,48.39,45.02,48.01,28959300,4.45381
2002-09-02,44.00,46.40,43.30,45.43,35286400,4.21447
2002-08-26,41.93,44.40,41.50,44.00,34828800,4.08181
2002-08-19,40.50,41.83,39.21,41.23,32747500,3.82484
2002-08-12,44.50,44.99,39.41,40.66,35196100,3.77196
2002-08-05,42.20,46.20,40.70,45.00,50965700,4.17458
2002-07-29,39.31,43.65,37.99,43.10,68852400,3.99832
2002-07-22,42.69,42.80,38.80,39.30,57416900,3.6458
2002-07-15,44.40,46.40,43.70,44.80,23088600,4.15602
2002-07-08,46.28,46.80,44.20,45.50,23480000,4.22096
2002-07-01,49.50,49.50,45.70,46.43,19886000,4.30724
2002-06-24,43.20,49.83,41.69,48.85,44767300,4.53174
2002-06-17,49.70,50.20,40.80,43.04,44577900,3.99275
2002-06-10,53.70,54.00,48.60,49.45,27624900,4.5874
2002-06-03,54.80,55.70,53.00,53.50,20039600,4.96311
2002-05-27,55.10,56.30,54.52,54.52,18000800,5.05773
2002-05-20,54.75,56.70,54.00,55.20,23871300,5.12082
2002-05-13,51.20,54.17,51.09,54.09,27503300,5.01784
2002-05-06,53.15,54.65,51.94,52.00,24550400,4.82396
2002-04-29,54.20,55.30,52.60,54.39,33394400,5.04567
2002-04-22,55.32,56.50,53.60,54.10,31098800,5.01877
2002-04-15,56.10,57.10,55.50,55.92,38385900,5.18761
2002-04-08,57.85,58.30,54.72,55.23,28640600,5.1236
2002-04-01,59.10,59.50,56.50,56.92,35038700,5.28038
2002-03-25,55.80,58.80,55.54,57.75,24061600,5.35738
